iter	Passed	Remaining
161	654	3387
162	663	3405
163	671	3422
164	680	3445
165	690	3467
166	695	3470
167	699	3465
168	705	3466
169	710	3467
170	716	3475
171	729	3512
172	738	3530
173	744	3532
174	750	3538
175	756	3541
176	761	3540
177	767	3543
178	772	3544
179	778	3548
180	786	3559
181	792	3564
182	797	3561
183	802	3558
184	806	3552
185	810	3546
186	819	3561
187	823	3558
188	827	3549
189	830	3542
190	835	3538
191	839	3531
192	841	3520
193	845	3511
194	849	3508
195	853	3502
196	856	3491
197	859	3480
198	862	3471
199	865	3463
200	868	3454
201	871	3444
202	874	3435
203	879	3430
204	882	3422
205	886	3415
206	889	3407
207	892	3397
208	895	3388
209	898	3379
210	901	3371
211	904	3362
212	908	3356
213	911	3347
214	915	3344
215	919	3337
216	923	3330
217	926	3322
218	929	3313
219	932	3305
220	935	3296
221	939	3290
222	942	3285
223	947	3283
224	953	3283
225	956	3276
226	959	3267
227	964	3267
228	969	3263
229	974	3261
230	980	3263
231	986	3265
232	991	3262
233	995	3259
234	999	3254
235	1004	3250
236	1009	3249
237	1014	3249
238	1019	3247
239	1023	3241
240	1027	3236
241	1031	3231
242	1035	3227
243	1040	3224
244	1047	3226
245	1051	3223
246	1055	3217
247	1060	3216
248	1065	3212
249	1068	3206
250	1071	3197
251	1074	3189
252	1077	3181
253	1080	3173
254	1084	3167
255	1088	3162
256	1091	3155
257	1094	3148
258	1098	3142
259	1101	3136
260	1105	3130
261	1110	3127
262	1114	3123
263	1118	3118
264	1121	3110
265	1124	3103
266	1127	3095
267	1131	3089
268	1134	3082
269	1137	3076
270	1142	3072
271	1146	3068
272	1150	3064
273	1154	3059
274	1158	3052
275	1161	3047
276	1165	3041
277	1168	3034
278	1172	3031
279	1178	3029
280	1181	3024
281	1185	3017
282	1188	3011
283	1192	3006
284	1196	3000
285	1199	2993
286	1202	2988
287	1205	2981
288	1210	2977
289	1214	2972
290	1218	2968
291	1221	2962
292	1224	2955
293	1229	2953
294	1234	2949
295	1238	2944
296	1242	2940
297	1247	2937
298	1251	2934
299	1254	2928
300	1260	2926
301	1263	2920
302	1267	2916
303	1273	2914
304	1277	2911
305	1281	2906
306	1285	2901
307	1289	2896
308	1293	2891
309	1296	2885
310	1299	2879
311	1304	2876
312	1311	2878
313	1314	2872
314	1318	2866
315	1321	2859
316	1324	2853
317	1329	2850
318	1332	2845
319	1337	2842
320	1343	2841
321	1348	2838
322	1351	2832
323	1354	2826
324	1358	2821
325	1362	2815
326	1365	2811
327	1372	2811
328	1376	2807
329	1380	2802
330	1383	2796
331	1386	2790
332	1391	2787
333	1394	2781
334	1398	2776
335	1402	2772
336	1408	2771
337	1412	2766
338	1416	2762
339	1419	2755
340	1423	2750
341	1427	2746
342	1430	2740
343	1434	2735
344	1438	2731
345	1444	2729
346	1447	2724
347	1451	2719
348	1456	2717
349	1460	2711
350	1463	2706
351	1468	2704
352	1476	2706
353	1480	2701
354	1484	2696
355	1489	2694
356	1497	2698
357	1502	2694
358	1508	2693
359	1512	2689
360	1517	2686
361	1530	2697
362	1534	2692
363	1541	2692
364	1546	2690
365	1550	2685
366	1552	2678
367	1556	2673
368	1561	2669
369	1565	2665
370	1571	2664
371	1576	2661
372	1579	2655
373	1583	2650
374	1587	2645
375	1592	2642
376	1596	2637
377	1600	2633
378	1606	2631
379	1609	2626
380	1613	2621
381	1617	2617
382	1622	2613
383	1626	2608
384	1630	2604
385	1634	2600
386	1639	2597
387	1643	2591
388	1646	2585
389	1649	2580
390	1653	2575
391	1657	2570
392	1661	2566
393	1664	2560
394	1669	2556
395	1674	2553
396	1677	2547
397	1680	2541
398	1683	2536
399	1688	2532
400	1692	2528
401	1696	2523
402	1699	2517
403	1705	2516
404	1709	2511
405	1712	2505
406	1715	2499
407	1718	2493
408	1722	2489
409	1727	2486
410	1732	2482
411	1735	2476
412	1738	2470
413	1741	2464
414	1744	2459
415	1747	2453
416	1751	2448
417	1754	2442
418	1757	2437
419	1761	2432
420	1766	2429
421	1771	2426
422	1774	2420
423	1777	2415
424	1781	2409
425	1784	2404
426	1788	2399
427	1792	2395
428	1796	2391
429	1801	2387
430	1804	2381
431	1806	2375
432	1810	2370
433	1813	2364
434	1817	2361
435	1821	2356
436	1825	2351
437	1829	2347
438	1834	2344
439	1838	2339
440	1842	2335
441	1844	2328
442	1848	2323
443	1853	2320
444	1857	2316
445	1860	2311
446	1863	2305
447	1872	2306
448	1875	2301
449	1878	2295
450	1881	2290
451	1886	2287
452	1892	2284
453	1895	2280
454	1899	2275
455	1902	2269
456	1905	2263
457	1908	2258
458	1911	2252
459	1914	2247
460	1919	2244
461	1922	2239
462	1927	2235
463	1932	2232
464	1938	2230
465	1941	2224
466	1944	2219
467	1948	2214
468	1953	2212
469	1959	2209
470	1962	2204
471	1968	2201
472	1972	2197
473	1975	2192
474	1981	2190
475	1987	2187
476	1992	2184
477	1997	2181
478	2002	2178
479	2006	2173
480	2010	2168
481	2014	2165
482	2020	2162
483	2026	2160
484	2032	2157
485	2035	2152
486	2039	2148
487	2043	2143
488	2047	2139
489	2053	2137
490	2058	2133
491	2061	2129
492	2066	2124
493	2069	2120
494	2072	2114
495	2075	2108
496	2078	2103
497	2081	2098
498	2085	2094
499	2089	2089
500	2093	2085
501	2097	2080
502	2100	2075
503	2103	2070
504	2106	2064
505	2109	2059
506	2112	2053
507	2114	2048
508	2118	2043
509	2123	2040
510	2127	2035
511	2131	2031
512	2133	2025
513	2137	2020
514	2140	2015
515	2142	2009
516	2146	2005
517	2151	2002
518	2156	1998
519	2159	1992
520	2162	1987
521	2165	1982
522	2168	1978
523	2171	1972
524	2174	1967
525	2180	1965
526	2185	1961
527	2191	1958
528	2196	1955
529	2200	1951
530	2205	1948
531	2210	1944
532	2216	1942
533	2222	1939
534	2228	1936
535	2232	1932
536	2236	1928
537	2240	1923
538	2249	1923
539	2256	1921
540	2262	1919
541	2267	1915
542	2271	1912
543	2278	1909
544	2287	1909
545	2291	1905
546	2296	1901
547	2302	1899
548	2307	1895
549	2314	1893
550	2320	1891
551	2331	1892
552	2336	1888
553	2340	1884
554	2346	1881
555	2352	1878
556	2355	1873
557	2358	1868
558	2364	1865
559	2367	1860
560	2371	1855
561	2375	1851
562	2383	1850
563	2387	1845
564	2391	1840
565	2395	1836
566	2399	1832
567	2403	1828
568	2407	1823
569	2413	1820
570	2417	1816
571	2420	1811
572	2423	1806
573	2427	1801
574	2430	1796
575	2434	1792
576	2438	1787
577	2442	1783
578	2448	1780
579	2451	1775
580	2455	1770
581	2458	1766
582	2461	1760
583	2464	1755
584	2468	1751
585	2471	1746
586	2476	1742
587	2480	1737
588	2483	1732
589	2486	1728
590	2490	1723
591	2493	1718
592	2496	1713
593	2500	1708
594	2504	1704
595	2508	1700
596	2511	1695
597	2514	1690
598	2518	1685
599	2521	1680
600	2524	1675
601	2526	1670
602	2528	1665
603	2531	1659
604	2534	1654
605	2536	1649
606	2539	1644
607	2541	1638
608	2544	1633
609	2546	1628
610	2549	1622
611	2551	1617
612	2554	1612
613	2556	1607
614	2559	1602
615	2562	1597
616	2564	1591
617	2567	1586
618	2569	1581
619	2572	1576
620	2574	1571
621	2577	1566
622	2579	1561
623	2581	1555
624	2583	1550
625	2586	1545
626	2588	1539
627	2590	1534
628	2593	1529
629	2595	1524
630	2598	1519
631	2600	1514
632	2603	1509
633	2606	1504
634	2608	1499
635	2610	1494
636	2613	1489
637	2615	1484
638	2617	1478
639	2619	1473
640	2621	1468
641	2624	1463
642	2626	1458
643	2628	1452
644	2630	1447
645	2633	1442
646	2635	1437
647	2638	1433
648	2640	1427
649	2642	1422
650	2644	1417
651	2646	1412
652	2648	1407
653	2651	1402
654	2653	1397
655	2655	1392
656	2657	1387
657	2660	1382
658	2662	1377
659	2664	1372
660	2666	1367
661	2669	1362
662	2671	1357
663	2673	1352
664	2676	1348
665	2678	1343
666	2680	1338
667	2682	1333
668	2685	1328
669	2687	1323
670	2689	1318
671	2691	1313
672	2693	1308
673	2696	1304
674	2698	1299
675	2701	1294
676	2704	1290
677	2706	1285
678	2708	1280
679	2711	1275
680	2713	1271
681	2716	1266
682	2718	1261
683	2720	1256
684	2722	1252
685	2725	1247
686	2728	1242
687	2730	1238
688	2732	1233
689	2735	1228
690	2737	1224
691	2739	1219
692	2741	1214
693	2743	1209
694	2745	1205
695	2748	1200
696	2750	1195
697	2752	1191
698	2755	1186
699	2757	1181
700	2759	1177
701	2761	1172
702	2763	1167
703	2766	1163
704	2768	1158
705	2770	1153
706	2772	1149
707	2775	1144
708	2777	1140
709	2780	1135
710	2782	1130
711	2784	1126
712	2786	1121
713	2788	1117
714	2791	1112
715	2794	1108
716	2797	1104
717	2799	1099
718	2801	1094
719	2804	1090
720	2806	1085
721	2808	1081
722	2810	1076
723	2812	1072
724	2815	1067
725	2817	1063
726	2819	1058
727	2821	1054
728	2824	1049
729	2826	1045
730	2828	1041
731	2831	1036
732	2834	1032
733	2836	1028
734	2838	1023
735	2841	1019
736	2843	1014
737	2845	1010
738	2847	1005
739	2849	1001
740	2851	996
741	2853	992
742	2856	988
743	2858	983
744	2860	979
745	2862	974
746	2865	970
747	2867	966
748	2869	961
749	2872	957
750	2874	953
751	2876	948
752	2879	944
753	2881	940
754	2883	935
755	2885	931
756	2887	926
757	2889	922
758	2892	918
759	2894	914
760	2896	909
761	2899	905
762	2901	901
763	2904	897
764	2906	892
765	2908	888
766	2910	884
767	2912	879
768	2914	875
769	2917	871
770	2919	867
771	2921	862
772	2923	858
773	2926	854
774	2928	850
775	2930	846
776	2933	841
777	2935	837
778	2937	833
779	2939	829
780	2942	825
781	2944	820
782	2946	816
783	2948	812
784	2950	808
785	2953	804
786	2955	799
787	2957	795
788	2959	791
789	2962	787
790	2964	783
791	2966	779
792	2969	775
793	2971	770
794	2977	767
795	2979	763
796	2982	759
797	2985	755
798	2987	751
799	2990	747
800	2992	743
801	2995	739
802	2997	735
803	2999	731
804	3001	727
805	3003	722
806	3005	718
807	3008	714
808	3010	710
809	3012	706
810	3014	702
811	3017	698
812	3019	694
813	3021	690
814	3023	686
815	3026	682
816	3028	678
817	3029	674
818	3032	670
819	3034	666
820	3036	662
821	3038	657
822	3041	654
823	3043	650
824	3045	645
825	3047	641
826	3049	638
827	3052	634
828	3054	630
829	3056	626
830	3058	622
831	3061	618
832	3063	614
833	3066	610
834	3068	606
835	3071	602
836	3073	598
837	3075	594
838	3077	590
839	3079	586
840	3081	582
841	3083	578
842	3086	574
843	3088	570
844	3090	566
845	3093	563
846	3095	559
847	3097	555
848	3100	551
849	3102	547
850	3104	543
851	3106	539
852	3109	535
853	3111	531
854	3113	528
855	3115	524
856	3118	520
857	3120	516
858	3122	512
859	3124	508
860	3127	504
861	3129	500
862	3131	497
863	3133	493
864	3135	489
865	3138	485
866	3140	481
867	3142	477
868	3145	474
869	3147	470
870	3150	466
871	3152	462
872	3154	458
873	3157	455
874	3159	451
875	3161	447
876	3164	443
877	3166	440
878	3169	436
879	3171	432
880	3173	428
881	3176	424
882	3178	421
883	3180	417
884	3182	413
885	3185	409
886	3188	406
887	3190	402
888	3193	398
889	3196	395
890	3198	391
891	3200	387
892	3202	383
893	3205	380
894	3207	376
895	3209	372
896	3211	368
897	3213	365
898	3216	361
899	3218	357
900	3220	353
901	3222	350
902	3224	346
903	3227	342
904	3229	339
905	3231	335
906	3234	331
907	3236	327
908	3238	324
909	3240	320
910	3242	316
911	3245	313
912	3247	309
913	3249	305
914	3252	302
915	3254	298
916	3257	294
917	3259	291
918	3261	287
919	3263	283
920	3266	280
921	3268	276
922	3271	272
923	3273	269
924	3275	265
925	3277	261
926	3279	258
927	3282	254
928	3284	251
929	3286	247
930	3288	243
931	3290	240
932	3293	236
933	3295	232
934	3297	229
935	3299	225
936	3301	221
937	3303	218
938	3306	214
939	3308	211
940	3311	207
941	3313	203
942	3315	200
943	3318	196
944	3320	193
945	3322	189
946	3325	186
947	3327	182
948	3329	178
949	3332	175
950	3334	171
951	3336	168
952	3338	164
953	3340	161
954	3343	157
955	3346	154
956	3349	150
957	3351	146
958	3353	143
959	3356	139
960	3358	136
961	3360	132
962	3362	129
963	3365	125
964	3367	122
965	3369	118
966	3371	115
967	3374	111
968	3376	108
969	3378	104
970	3381	100
971	3383	97
972	3386	93
973	3388	90
974	3390	86
975	3393	83
976	3395	79
977	3397	76
978	3399	72
979	3402	69
980	3404	65
981	3407	62
982	3409	58
983	3411	55
984	3413	51
985	3416	48
986	3418	45
987	3421	41
988	3423	38
989	3425	34
990	3427	31
991	3430	27
992	3432	24
993	3434	20
994	3436	17
995	3438	13
996	3441	10
997	3443	6
998	3446	3
999	3448	0
