iter	Logloss
0	0.5735729888
1	0.4714450957
2	0.3932282855
3	0.3336209635
4	0.2864475474
5	0.2521305872
6	0.2251074032
7	0.2042883875
8	0.1867340874
9	0.1728091738
10	0.1618665652
11	0.1520110415
12	0.1433435288
13	0.1355354751
14	0.1291144422
15	0.1226802984
16	0.117549068
17	0.1133528916
18	0.1091555055
19	0.1052597656
20	0.1017289745
21	0.09840909419
22	0.09552477638
23	0.09266291248
24	0.09034710471
25	0.08791085887
26	0.0859023107
27	0.08383218433
28	0.08162985975
29	0.07968931437
30	0.07812873903
31	0.07672923746
32	0.07523935578
33	0.07377907649
34	0.07233306758
35	0.07107168611
36	0.07000093843
37	0.06911182018
38	0.06835351782
39	0.06710431158
40	0.06608072561
41	0.06536869317
42	0.06464882959
43	0.06390945192
44	0.06336229748
45	0.06265266835
46	0.06188280328
47	0.06118077568
48	0.06031142356
49	0.05961191371
50	0.05905909533
51	0.05842906185
52	0.05800596232
53	0.05770395345
54	0.05720963027
55	0.05658898299
56	0.05614856144
57	0.05559644386
58	0.05518131295
59	0.05473837861
60	0.05438816152
61	0.05377061123
62	0.0533466148
63	0.05293164405
64	0.05247525685
65	0.05203690977
66	0.05162104792
67	0.05132500841
68	0.05103743869
69	0.05071023344
70	0.05035848534
71	0.04992218356
72	0.04961457252
73	0.0493441223
74	0.0490205268
75	0.04871584669
76	0.0483654204
77	0.04811655573
78	0.0478012753
79	0.0474979361
80	0.04719361198
81	0.04690751046
82	0.04665337688
83	0.04628338913
84	0.04604572155
85	0.04583113906
86	0.04555312684
87	0.04540084783
88	0.04505104213
89	0.04476588497
90	0.04448271392
91	0.04425455945
92	0.04411857617
93	0.04381096205
94	0.04363908822
95	0.04331930806
96	0.04314406133
97	0.04276085262
98	0.04260206469
99	0.04226168584
100	0.0420164374
101	0.04180023403
102	0.04161073124
103	0.04145435433
104	0.04132255843
105	0.04111443607
106	0.04092325385
107	0.04075358564
108	0.04045504712
109	0.04027853246
110	0.04014005657
111	0.03994501543
112	0.03977373757
113	0.03957498245
114	0.03941737912
115	0.03927991941
116	0.03915320332
117	0.03896526722
118	0.03867118896
119	0.03847393274
120	0.0382535036
121	0.03807495543
122	0.03784646049
123	0.03766354745
124	0.03740788802
125	0.03710642137
126	0.03700055178
127	0.03674734125
128	0.0365976588
129	0.03647252081
130	0.0363298078
131	0.03624699425
132	0.03608248333
133	0.03589906308
134	0.03576494174
135	0.03554133408
136	0.03538964589
137	0.03513077966
138	0.03502152806
139	0.03484585916
140	0.03451221155
141	0.0343734204
142	0.03419848936
143	0.03412316332
144	0.03403754929
145	0.03387449155
146	0.03373843204
147	0.03356757093
148	0.03344985262
149	0.03330548762
150	0.03319575366
151	0.032958923
152	0.03273790012
153	0.0326224807
154	0.03256118344
155	0.03234371939
156	0.03218794579
157	0.03207225987
158	0.03191187605
159	0.0317599383
160	0.03166061595
161	0.03155171711
162	0.03138775351
163	0.03125452608
164	0.03119547293
165	0.03101765053
166	0.03089326897
167	0.03077574169
168	0.03066562566
169	0.03061074505
170	0.03048160006
171	0.0303645234
172	0.03029306011
173	0.03009315236
174	0.0299357745
175	0.02973689451
176	0.02955066676
177	0.02944289078
178	0.02938000099
179	0.02922259934
180	0.02904366398
181	0.02891509842
182	0.02882824859
183	0.02865996749
184	0.02850489338
185	0.02839299148
186	0.02830079477
187	0.02821504637
188	0.02812131078
189	0.02798756715
190	0.02784186374
191	0.02766366988
192	0.02757927998
193	0.0275194478
194	0.02744440159
195	0.02739028894
196	0.02730407189
197	0.02718751248
198	0.02704990645
199	0.02683828125
200	0.02672905567
201	0.02657273427
202	0.02650015587
203	0.02641177485
204	0.02634520905
205	0.02624154616
206	0.02612164779
207	0.0260386188
208	0.02595145678
209	0.0257800641
210	0.02575041412
211	0.02567003225
212	0.02563224804
213	0.02551661223
214	0.02539122493
215	0.02529016527
216	0.02523612602
217	0.02512795181
218	0.02498585532
219	0.02492508379
220	0.02486499326
221	0.0248049921
222	0.02473455141
223	0.02463851232
224	0.02450085968
225	0.02443860695
226	0.02428673931
227	0.02423679563
228	0.02410199993
229	0.0239829766
230	0.02391888255
231	0.02385174144
232	0.02377528243
233	0.02368461553
234	0.02357386371
235	0.02343272189
236	0.02334176493
237	0.02323592683
238	0.02314584223
239	0.02305676386
240	0.02291985846
241	0.02284261739
242	0.02274180465
243	0.02263743535
244	0.02257887516
245	0.02248257488
246	0.02244404264
247	0.02242000137
248	0.02233695399
249	0.02220200632
250	0.0220986213
251	0.02206513978
252	0.02196734005
253	0.02188428643
254	0.02182277149
255	0.02171002127
256	0.02165780081
257	0.02159131571
258	0.0215441873
259	0.02144210649
260	0.02139633976
261	0.02126469746
262	0.02117913977
263	0.02113954475
264	0.02107393413
265	0.02097416339
266	0.02088550222
267	0.02083001688
268	0.02076033019
269	0.02068837449
270	0.02062178558
271	0.02053776794
272	0.02048259804
273	0.02040437
274	0.02034748348
275	0.02025401784
276	0.0201727332
277	0.02009712002
278	0.02002511253
279	0.01998058606
280	0.01992726725
281	0.01985968763
282	0.01979637059
283	0.01968004337
284	0.01956102477
285	0.01952365037
286	0.01946536926
287	0.01936976121
288	0.01933114488
289	0.01929022617
290	0.01923285456
291	0.0191377378
292	0.01907593903
293	0.0190247164
294	0.0189636193
295	0.01888290046
296	0.01881527418
297	0.0187536772
298	0.01866816985
299	0.01854969555
300	0.01845200861
301	0.01842943837
302	0.01838419888
303	0.01834586776
304	0.01828955878
305	0.01820482142
306	0.01813058274
307	0.0180465475
308	0.01799993092
309	0.01795945282
310	0.01791102963
311	0.01780443485
312	0.01776332877
313	0.01768331994
314	0.01764095534
315	0.01759730027
316	0.01753262257
317	0.01747446529
318	0.01742493269
319	0.01734713211
320	0.01729246843
321	0.01722109013
322	0.01717437453
323	0.0171293748
324	0.01709582332
325	0.01702338134
326	0.01692989267
327	0.0168893028
328	0.01686127084
329	0.01681598745
330	0.01676888657
331	0.01673444839
332	0.01665488147
333	0.0165832614
334	0.01647859648
335	0.01644868146
336	0.01636805326
337	0.01631027011
338	0.01627316127
339	0.0162086184
340	0.01617963683
341	0.01614498577
342	0.01601811078
343	0.01596064028
344	0.01591313938
345	0.01587027347
346	0.01582403665
347	0.01576325567
348	0.01573101848
349	0.01565604167
350	0.01559587127
351	0.01553652547
352	0.01548790924
353	0.01538668902
354	0.01532052379
355	0.01526689727
356	0.01521006943
357	0.0151613146
358	0.01511020154
359	0.01508412452
360	0.01502046808
361	0.014943375
362	0.01491500205
363	0.01490033662
364	0.01480166032
365	0.01475330145
366	0.01470131349
367	0.01467440837
368	0.01463139768
369	0.01461137622
370	0.014565271
371	0.01451593176
372	0.01447248028
373	0.01445531582
374	0.01440438988
375	0.01435533376
376	0.01433183956
377	0.01429509685
378	0.01426562451
379	0.01423647775
380	0.01419296464
381	0.01415440518
382	0.01412310157
383	0.0140824044
384	0.01403778186
385	0.01398892
386	0.01395451517
387	0.0139292427
388	0.01388488701
389	0.01385242821
390	0.0138271624
391	0.01380421476
392	0.01377897949
393	0.01374045382
394	0.01368017638
395	0.01364761508
396	0.01361429985
397	0.01359059931
398	0.01351445023
399	0.01346114441
400	0.01342390196
401	0.01334850821
402	0.01332639021
403	0.01327248968
404	0.01325312328
405	0.01321504071
406	0.01314253851
407	0.01308675567
408	0.01306136918
409	0.01301920074
410	0.01298719162
411	0.01294222234
412	0.01290487403
413	0.01287050791
414	0.0128473047
415	0.01281576592
416	0.01278864639
417	0.01273877855
418	0.01267437219
419	0.01263764456
420	0.01261286034
421	0.01259514011
422	0.0125413202
423	0.01252303376
424	0.01247960856
425	0.01246924634
426	0.01241354127
427	0.01239604706
428	0.01237847598
429	0.0123498285
430	0.01232979873
431	0.01227797235
432	0.0122267594
433	0.01220042609
434	0.01216988642
435	0.01214555733
436	0.01210998096
437	0.01207977749
438	0.01204500705
439	0.01201363922
440	0.01198106973
441	0.01195730849
442	0.01193801257
443	0.01191643789
444	0.0118769954
445	0.01184239401
446	0.01177928216
447	0.01174160326
448	0.01169565639
449	0.01168200414
450	0.01166982958
451	0.01165954127
452	0.01159162494
453	0.01153489099
454	0.0114980144
455	0.01148082167
456	0.01145214666
457	0.01139666728
458	0.01135521461
459	0.01132976863
460	0.01131342576
461	0.01129024632
462	0.01125816565
463	0.01121906224
464	0.01118287083
465	0.01111217698
466	0.011084038
467	0.01106649684
468	0.0110239036
469	0.01100204209
470	0.01096910709
471	0.01094689663
472	0.01089164961
473	0.01086608997
474	0.01083420258
475	0.01081522707
476	0.0107671718
477	0.01074868092
478	0.01071315991
479	0.01068732326
480	0.01066242458
481	0.01061947743
482	0.01058660708
483	0.01057478839
484	0.01053192272
485	0.01050364851
486	0.01048952134
487	0.01044742287
488	0.01043860621
489	0.010407274
490	0.0103743495
